Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H07S1V001,H07S1V002,H07S1V003,H07S1V004,H07S1V005,H07S1V006,H07S1V007,H07S1V008,H07S1V009,H07S1V010,H07S1V011,H07S1V012,H07S1V013,H07S1V014,H07S1V015,H07S1V016,H07S1V017,H07S1V018,H07S1V019,H07S1V020,H07S1V021,H07S1V022,H07S1V023,H07S1V024,H07S1V025,H07S1V026,H07S1V027,H07S1V028,H07S2V001,H07S2V002,H07S2V003,H07S2V004,H07S2V005,H07S2V006,H07S2V007,H07S2V008,H07S2V009,H07S2V010,H07S2V011,H07S2V012,H07S2V013,H07S3V001,H07S3V002,H07S3V003,H07S3V004,H07S3V005,H07S3V006,H07S3V007,H07S3V008,H07S3V009,H07S3V010,H07S3V011,H07S3V012,H07S4V001,H07S4V002,H07S4V003,H07S4V004,H07S4V005,H07S4V006,H07S4V007,H07S4V008,H07S4V009,H07S4V010,H07S4V011,H07S4V012,H07S4V013,H07S4V014,H07S4V015,H07S4V016,H07S4V017,H07S4V018,H07S4V019,H07S4V020,H07S4V021,H07S4V022,H07S4V023,H07S4V024,H07S4V025,H07S4V026,H07S4V027,H07S4V028,H07S4V029,H07S4V030,H07S4V031,H07S4V032,H07S5V001,H07S5V002,H07S5V003,H07S5V004,H07S5V005,H07S5V006,H07S5V007,H07S5V008,H07S5V009,H07S5V010,H07S5V011,H07S5V012,H07S5V013,H07S5V014,H07S5V015,H07S5V016,H07S5V017,H07S5V018,H07S5V019,H07S5V020,H07S5V021,H07S5V022,H07S6V001,H07S6V002,H07S6V003,H07S6V004,H07S6V005,H07S6V006,H07S6V007,H07S6V008,H07S6V009,H07S6V010,H07S6V011,H07S6V012,H07S6V013
678,SHELBURNE,Nova Scotia,1867 - 1892,7,1891.03.05,1300,5f535773-060b-43d9-b70d-717ddfb0780c,"WHITE, N.W.",1388,0.5034,Liberal-Conservative,Lawyer,Protestant,0,1,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,9,2,9,2,1,2,9,2,2,2,2,2,2,9,9,9,9,9,9,2,2,1,2,2,2,1,1,2,2,1,9,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,9,2,2,2,2,2,2,1,1,2,1,9,2,2,9,2,2,2,9,9,1,2,2,9,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,9,1,2,1,1,2,1,2,1,1,2
462,MONTREAL EAST,Quebec,1867 - 1892,7,1891.03.05,1343,621a9152-65cd-46fb-9460-fff69fac5d29,"LEPINE, A.T.",5840,0.538,Independent Conservative,"Journalist, printer",Fr.Catholic,1,2,,,,,,,,,,,,,1,1,1,1,1,9,2,2,2,2,9,9,9,2,1,9,9,2,2,2,2,9,2,2,9,2,2,1,9,2,2,1,2,2,2,1,1,9,2,9,9,2,9,9,2,9,9,2,1,2,9,2,9,2,9,1,9,9,9,2,9,9,9,9,9,2,1,9,2,9,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,1,9,9,9,9,9,9,2,9,1,9,1,9,1,9,9,9,9,9,9,2,1,9,9,1,2,1,9,2
432,MEGANTIC,Quebec,1867 - 1933,7,1891.03.05,1346,623e0e32-d33d-4158-9932-f811e78666e2,"COTE ALIAS FRECHETTE, L.J.",1658,0.5173,Conservative (1867-1942),"Merchant, postmaster",Fr.Catholic,1,2,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,2,2,9,2,1,2,2,2,2,2,2,9,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,9,2,2,2,2,2,2,1,2,2,2,2,2,2,2,9,1,2,1,2,2,9,9,2,2,2,2,9,2,2,2,2,2,2,1,1,2,1,2,2,2,9,2,2,2,2,2,1,2,2,2,9,9,9,9,2,9,2,2,2,1,2,9,2,9,2,2,1,2,1,1,1,2,1,1,2,1,2,1,9,2
152,COLCHESTER,Nova Scotia,1867 - 1933,7,1891.03.05,1349,6279de53-771d-42ce-bd92-463ffcd03ab3,"PATTERSON, W.A.",2588,0.5703,Conservative (1867-1942),Lumber merchant,Protestant,0,1,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,1,2,9,2,9,9,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,9,9,9,2,2,2,9,2,9,2,1,1,9,1,9,9,2,1,2,9,9,2,2,2,2,2,2,2,2,1,9,2,1,2,2,2,2,9,2,9,9,2,1,2,2,2,2,1,1,1,2,2,2,2,9,1,2,2,2,2,2,2,9,9,9,1,1,2,1,1,2,1,2,1,1,9
287,HOCHELAGA,Quebec,1867 - 1978,7,1891.03.05-1892.09.30,1355,62e8d0ed-ec37-4851-b96d-038faa1437d7,"DESJARDINS, Alphonse",5266,0.5805,Conservative (1867-1942),"Editor, lawyer",Fr.Catholic,1,5,,,,,,,,,,Resignation. Called to the Senate: 1892.09.30,,,1,1,1,1,1,1,9,2,9,9,9,2,9,2,1,9,2,2,2,2,2,9,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
399,LINCOLN AND NIAGARA,Ontario,1882 - 1903,7,1891.03.05- and 1892.01.28,1382,64fe82b2-b4ed-479c-840a-3d77c82f57cc,"GIBSON, William",2212,0.5055,Liberal Party of Canada,"Contractor, engineer",Protestant,0,1,,,,,,,,,Scotland,Election declared void: ó,,,2,2,2,2,9,2,1,9,2,2,9,9,9,9,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,9,9,1,1,1,2,2,9,2,9,9,1,1,1,1,9,9,1,1,1,1,1,1,1,9,2,1,2,1,1,1,2,9,9,9,1,9,1,1,1,1,1,1,2,2,1,9,9,9,9,9,9,9,9,9,1,9,1,2,1,1,1,9,9,1,1,1,1,1,2,1,2,1,1,9,9,9,9,9,9,9,1,2,2,1,2,9,9,2,1
479,NEW WESTMINSTER,British Columbia,1872 - 1976,7,1891.03.05,1406,66f92940-57d4-4775-959a-1d3d4607c8c5,"CORBOULD, G.E.",1694,0.761,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,,,,,9,9,9,9,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,9,9,9,9,9,9,9,1,2,2,1,2,2,2,1,1,2,2,9,9,2,9,9,2,9,9,2,2,2,9,2,9,9,9,9,9,1,9,2,9,9,2,2,2,2,2,2,2,2,2,2,2,1,2,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,1,1,2,2,9,2,2,1,2,9,2,2,2,2,1,2,1,9,9,2,1,1,2,9,9,9,1,9
690,SOULANGES,Quebec,1867 - 1914,7,1892.02.03- and 1892.12.13,1435,68c2b514-0930-4164-a1ac-8c8e388b5e65,"BAIN, James William",,,Conservative (1867-1942),Merchant,Catholic,0,3,,,,,,,,,,Election declared void: ó,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,1,2,2,2,1,1,2,2,9,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9
461,MONTREAL CENTRE,Quebec,1867 - 1892,7,1891.03.05-1892.12.04 and 1892.12.18-1895.10.17,1437,68df3a04-5588-41f6-80b7-e4cb81571c76,"CURRAN, John Joseph",3450,0.6068,Conservative (1867-1942),Lawyer,Catholic,0,3,,1,,,,,,,,Resignation. Appointed Solicitor General: 1892.12.04 & Resignation. Appointed Puisne Judge of the Superior Court of Quebec: 1895.10.17,,,1,1,1,1,1,1,2,2,2,1,9,2,9,2,1,2,2,2,2,2,9,2,9,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,9,2,2,2,2,2,2,1,9,1,2,2,2,2,2,9,1,9,1,2,2,2,1,9,2,2,2,9,2,2,2,2,2,2,1,9,2,9,2,2,2,9,2,2,9,9,2,1,2,2,2,2,1,1,1,2,2,9,2,2,1,2,2,2,2,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99
843,YORK EAST,Ontario,1867 - 1903,7,1891.03.05-1892.04.17 ,1471,6b844758-6f54-4c68-8373-f26140d22ff6,"MACKENZIE, Hon. Alex",3003,0.5022,Liberal Party of Canada,"Contractor, editor",Protestant,0,7,,,,,,,,,Scotland,Died in office: 1892.04.17 ,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
606,RICHELIEU,Quebec,1867 - 1933,7,1892.01.11,1475,6c0998c5-ccd5-471e-aec6-76892fd3374b,"BRUNEAU, Arthur-Aime",accl.,,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,1,2,1,1,1,2,2,1,2,9,9,1,9,9,1,9,9,1,1,1,2,1,2,1,1,2,2,2,1,1,9,9,1,1,9,9,1,1,1,1,2,2,2,1,1,1,2,2,2,9,9,1,9,1,9,1,9,1,2,9,9,9,2,1,1,1,1,1,1,2,1,9,1,1,1,1,9,2,9,9,2,1,2,2,9,9,9,9,1,9
44,BELLECHASSE,Quebec,1867 - 1996,7,1891.03.05-1896.03.30,1482,6c99e207-be00-46fd-9d34-75e03efe5e39,"AMYOT, Guillaume",1271,0.5218,Nationalist Conservative,"Editor, lawyer",Fr.Catholic,1,4,,,,,,,,,,Died on office: 1896.03.30,,,2,2,2,2,2,2,9,1,2,2,2,1,9,1,2,1,1,1,1,1,1,1,1,1,9,2,1,2,1,9,2,1,2,2,2,1,1,9,2,2,9,9,9,9,2,2,1,2,2,2,2,2,2,2,1,1,2,9,2,2,9,9,2,2,9,2,2,2,2,2,2,2,2,1,1,2,1,2,2,9,9,9,9,9,9,2,1,2,2,2,2,1,1,1,2,9,2,2,2,1,2,2,2,2,2,2,1,2,9,1,1,2,1,9,9,99,99,99,99,99
323,KAMOURASKA,Quebec,1867 - 1976,7,1891.03.05,1520,6e3db2e0-2894-483a-8384-8acea5841cbb,"CARROLL, H.G.",1506,0.5163,Liberal Party of Canada,Lawyer,Catholic,0,1,,,,,,,,,,,,,2,2,2,2,9,9,9,1,2,2,2,1,9,1,9,9,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,9,9,2,9,1,9,9,1,9,9,1,9,9,9,9,9,1,9,2,2,2,1,1,1,1,1,1,9,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,9,1,2,9,9,1,2,9,9,2,1,2,9,9,1,1,1,1,1,2,1,1,1,1,1,1,2,2,9,1,2,1,2,2,9,9,9,9,9,1
837,YARMOUTH,Nova Scotia,1867 - 1914,7,1891.03.05,1550,71065e43-328a-445d-9053-17777de777cd,"FLINT, Thomas B.",1732,0.5995,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,2,2,2,2,9,2,1,9,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,9,1,1,2,2,1,2,1,1,1,1,1,9,1,2,1,1,1,9,1,9,1,2,2,1,2,1,9,1,2,1,1,1,1,1,9,9,1,1,1,1,2,2,1,2,2,2,9,2,9,9,9,9,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,9,1,2,2,2,1,2,2,1,2,9,9,9,9
609,RICHMOND,Nova Scotia,1867 - 1914,7,1891.03.05- and 1892.01.21,1555,7157cc74-b9b4-4db8-b67d-94da275ff62f,"GILLIES, Joseph Alexander",857,0.3755,Conservative (1867-1942),"Lawyer, solicitor",Catholic,0,1,,,,,,,,,,Unseated: ó,,,1,1,1,1,1,1,2,2,2,1,1,2,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,9,9,2,2,2,2,1,1,2,9,9,2,9,2,2,9,1,9,9,9,2,2,1,2,2,2,9,9,2,2,2,2,2,2,1,1,2,1,2,2,2,9,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,9,9,1,2,1,1,2,1,2,1,1,2
443,MIDDLESEX WEST,Ontario,1867 - 1966,7,1891.03.05,1563,71d7527e-602a-44d6-8e22-ca826c5818ac,"ROOME, Wm. F.",1529,0.4069,Conservative (1867-1942),Physician,Protestant,0,2,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,9,2,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,9,2,9,9,2,9,9,9,2,2,9,2,9,2,1,1,1,1,2,2,2,1,2,9,9,9,9,2,9,2,2,2,2,1,9,2,1,9,9,9,9,9,2,2,2,2,1,2,2,9,9,9,2,2,2,9,2,2,2,1,2,2,2,2,2,2,9,2,2,9,2,2,1,9,2,1,9,9,9,9
79,BRUCE EAST,Ontario,1882 - 1903,7,1892.02.11,1564,71e5597a-15da-411d-82fd-60def944d8cf,"CARGILL, Henry",accl.,,Conservative (1867-1942),"Farmer, lumber merchant, merchant",Protestant,0,2,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,9,9,9,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,9,1,2,2,9,9,2,2,9,2,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,2,1,1,1,2,2,2,2,2,9,2,2,2,2,2,2,9,9,1,1,9,2,1,1,2,1,9,9,1,9
485,NICOLET,Quebec,1867 - 1933,7,1891.03.05,1574,72630a4b-a851-4722-b204-86c9db18620b,"LEDUC, Joseph Hector",1502,0.453,Liberal Party of Canada,Merchant,Fr.Catholic,1,1,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,2,1,9,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,9,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,9,2,2,1,1,9,9,1,1,1,1,1,9,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,9,1,9,9,9,2,1,2,9,9,1,1,9,9,1,2,1,1,1,1,1,1,9,2,9,9,9,1,2,2,1,9,2,9,1,1
624,ROUVILLE,Quebec,1867 - 1914,7,1891.03.05,1592,73436b70-d382-4eb3-9baf-bb0e92fdbf12,"BRODEUR, L.P.",1289,0.5138,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,2,2,2,2,9,2,1,1,2,2,9,1,9,1,2,1,9,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,9,1,1,1,1,1,9,9,1,1,1,1,1,1,1,9,2,9,9,1,9,1,2,1,1,9,1,1,1,1,1,2,2,1,1,9,9,9,2,2,9,9,9,9,1,1,1,9,9,9,9,1,2,9,9,1,1,9,1,1,2,1,1,1,1,1,1,2,9,1,9,9,1,2,2,1,9,2,1,1,9
266,HALTON,Ontario,1867 - 1987,7,1891.03.05- and 1892.01.28,1612,74dd6652-cc90-4645-97e9-bfadb4e237e7,"HENDERSON, David",2441,0.5109,Conservative (1867-1942),"Banker, merchant",Protestant,0,2,,,,,,,,,,Election declared void: ó,,,1,1,1,1,1,1,2,2,2,1,1,2,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,9,1,2,9,9,2,9,9,9,9,9,9,2,2,2,2,2,1,1,2,1,2,2,2,1,2,9,2,2,2,9,2,1,2,2,1,1,2,2,2,2,2,2,1,2,9,2,2,2,2,9,2,9,1,9,1,2,1,2,1,2,1,1,2
549,PETERBOROUGH WEST,Ontario,1867 - 1952,7,1891.03.05,1617,75255489-bf9c-401e-beb0-14f0e5c87357,"STEVENSON, James",1447,0.5436,Conservative (1867-1942),Merchant,Protestant,0,2,,,,,,,,,Ireland,,,,1,1,1,1,9,1,9,9,2,1,1,9,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,9,9,9,2,2,1,1,9,2,9,9,2,9,9,2,9,9,2,2,2,2,2,2,2,9,1,1,1,2,9,9,9,9,2,9,2,9,9,9,2,2,2,2,1,9,9,9,9,9,2,2,2,2,2,9,9,1,2,1,2,9,9,2,2,2,2,9,2,9,9,2,2,2,2,2,2,9,2,2,9,2,2,1,9,9,9,9,9,1,2
840,YORK,New Brunswick,1867 - 1914,7,1891.03.05,1624,75db6565-b7cf-4bb8-8b78-99b31c3d1842,"TEMPLE, Thomas",2048,0.5293,Conservative (1867-1942),"Farmer, lumberman",Protestant,0,3,,,,,,,,,England,,,,1,1,1,1,1,1,2,2,2,1,9,2,1,2,1,2,2,2,2,2,9,2,2,2,1,2,2,1,9,9,2,1,2,2,9,9,9,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,9,1,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,1,1,9,9,9,2,2,9,2,2,2,9,2,1,2,1,2,9,9,9,9,2,2,2,2,2,9,9,2,2,2,2,2,1,9,9,1,9,2,1,1,9,1,2,1,1,9
832,YALE,British Columbia,1872 - 1892,7,1891.03.05,1629,764d6154-9f0a-4450-a7c8-b8b6c45202ae,"MARA, John Andrew",accl.,,Conservative (1867-1942),Merchant,Protestant,0,2,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,2,9,1,2,1,2,2,2,2,2,2,2,9,9,9,9,9,9,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,9,1,2,2,2,1,2,2,2,2,2,2,2,2,9,9,9,9,2,2,1,2,9,2,2,2,2,9,9,2,9,9,9,9,9,9,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,9,2,1,9,2,9,9,9,9,2
756,VANCOUVER,British Columbia,1872 - 1903,7,1893.05.02,1632,766ac27e-8163-4f5b-80fc-186d7353ea69,"HASLAM, Andrew",accl.,,Conservative (1867-1942),"Businessman, lumber merchant, sawmiller",Protestant,0,1,,,,,,,,,Ireland,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,1,9,1,2,2,2,1,2,9,9,2,2,9,2,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,2,1,2,1,9,9,9,1,1,2,2,2,2,2,1,2,2,2,2,2,2,9,2,2,1,1,2,1,1,2,9,9,9,9,9
491,NORFOLK SOUTH,Ontario,1867 - 1903,7,1891.03.05,1635,767d2ad4-15bd-4cc2-9ce2-29707e4c6128,"TISDALE, David",2051,0.5558,Conservative (1867-1942),Lawyer,Protestant,0,2,,1,,,,,,,,,,,1,1,9,9,1,1,2,2,2,1,9,2,9,2,9,2,2,2,9,2,2,2,2,9,9,9,9,9,9,2,2,1,2,2,2,1,1,2,2,1,9,2,9,9,2,9,9,2,2,2,9,2,9,2,1,1,9,1,9,9,2,9,2,9,9,9,9,2,2,2,2,2,2,1,2,2,1,2,2,9,9,9,9,9,9,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,9,9,1,1,1,2,1,1,2,9,9,9,9,2
586,QUEEN'S,New Brunswick,1867 - 1892,7,1891.03.05,1640,76a7c95a-8ec0-4bbf-8233-b161f4a6278f,"KING, G.G.",1233,0.5059,Liberal Party of Canada,Businessman,Protestant,0,4,,,,,,,,,,,,,2,2,2,2,2,2,9,1,2,2,9,1,9,1,2,1,1,1,1,9,9,1,1,1,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
514,ONTARIO SOUTH,Ontario,1867 - 1924,7,1892.02.20,1678,790af30c-6f5a-4c27-9611-f1717541e81d,"SMITH, William",accl.,,Conservative (1867-1942),"Breeder, farmer, importer",Protestant,0,2,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,1,2,2,2,1,1,2,1,9,2,2,2,2,9,9,9,2,2,2,9,2,9,2,1,1,1,1,2,2,9,9,9,9,9,9,9,9,2,2,2,9,2,1,9,9,9,2,1,2,2,2,2,2,2,2,1,2,2,2,9,9,9,9,9,9,2,2,2,9,2,2,2,2,2,2,9,2,1,9,9,2,1,1,2,1,2,1,9,9
603,RESTIGOUCHE,New Brunswick,1867 - 1914,7,1891.03.05,1688,79d856c8-3a58-407f-9a42-ae5b46c37655,"MCALISTER, John",735,0.5861,Liberal-Conservative,"Lawyer, teacher",Protestant,0,1,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,9,2,1,2,1,2,9,2,2,2,2,2,2,2,1,2,2,1,9,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,9,1,1,2,2,9,2,2,2,9,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,1,2,2,1,2,2,2,2,9,9,2,1,2,2,2,2,2,2,9,2,2,9,1,2,1,1,2,1,2,1,1,2
736,TORONTO CENTRE,Ontario,1872 - 1924,7,1891.03.05,1694,7a0f0d6d-70f6-41cd-9390-308e83735ff8,"COCKBURN, George R.R.",2414,0.558,Conservative (1867-1942),School principal,Protestant,0,2,,,,,,,,,Scotland,,,,1,1,1,1,1,1,2,2,2,1,1,2,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,9,2,9,9,9,2,2,1,1,9,9,9,9,9,2,2,2,9,9,2,2,2,2,2,2,2,1,9,9,1,2,9,2,9,2,9,9,2,9,9,2,2,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,2,9,9,9,9,2,9,9,2,9,9,2,2,2,2,2,2,9,2,9,9,9,1,2,9,9,9,9,9,1,9
251,GREY EAST,Ontario,1872 - 1914,7,1891.03.05,1714,7b93f979-f291-49f1-9a5c-54d08800f177,"SPROULE, T.S.",1977,0.5024,Conservative (1867-1942),"Businessman, farmer, physician",Protestant,0,4,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,9,2,9,9,9,9,2,1,1,2,9,9,2,2,2,2,2,9,1,2,2,2,2,2,2,2,9,1,1,1,2,2,2,9,2,2,9,2,9,9,9,2,2,2,2,1,1,9,9,2,1,2,9,2,2,2,2,2,1,2,1,2,2,1,9,9,9,2,2,9,9,1,2,1,2,2,2,2,9,1,9,1,9,1,2,1,1,2,1,2,2,2
793,WELLAND,Ontario,1867 - 1987,7,1892.04.29,1716,7bb19adc-f99f-481f-8e64-2de2f8c92576,"LOWELL, James A.",accl.,,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,1,1,1,1,1,2,1,9,1,1,1,1,1,2,2,9,2,1,1,1,2,1,1,1,9,9,1,1,9,1,1,1,2,2,1,2,2,2,1,2,1,1,1,9,1,2,1,2,1,1,2,9,9,9,1,1,1,1,2,1,9,1,1,1,1,9,1,9,9,9,1,2,2,1,9,9,9,2,9
139,CHATEAUGUAY,Quebec,1867 - 1914,7,1891.03.05,1723,7bfda4f2-69fc-4407-b3b4-ccf8d867ee63,"BROWN, Jas. P.",1246,0.5205,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,9,1,1,2,2,1,2,2,1,1,2,9,1,1,2,2,1,2,1,9,1,9,9,1,1,2,1,1,9,1,9,1,1,9,2,1,2,1,1,1,2,1,1,9,9,1,9,1,1,1,1,1,2,1,1,2,2,2,1,9,9,9,9,9,1,2,1,2,9,9,9,2,2,1,1,1,9,9,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,1,9,9,9,9,9
441,MIDDLESEX NORTH,Ontario,1867 - 1914,7,1891.03.05,1732,7c6cdb78-881a-4cf5-a4bc-083b28524d86,"HUTCHINS, W.H.",1965,0.5008,Conservative (1867-1942),"Grain merchant, produce dealer",Protestant,0,1,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,9,2,1,2,1,2,2,2,2,2,9,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,9,9,2,9,1,2,2,2,2,2,2,2,1,1,9,1,2,2,2,9,2,9,9,2,9,2,9,2,9,9,9,9,2,2,1,9,9,2,2,2,9,2,2,2,1,2,1,2,9,9,1,1,2,2,2,2,2,9,2,9,2,2,2,2,1,2,1,1,1,2,1,9,9,9,9,9,9,2
18,ARGENTEUIL,Quebec,1867 - 1947,7,1891.03.05,1759,7ed1e48b-8ba1-4073-89fd-3cd191edca24,"CHRISTIE, Thomas",1050,0.5532,Liberal Party of Canada,"Physician, professor",Protestant,0,3,,,,,,,,,Scotland,,,,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,9,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,9,9,9,9,1,1,1,1,1,1,1,1,1,1,9,9,1,1,2,2,2,1,9,1,2,9,9,1,2,9,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,9,1,2,2,2,1,2,2,1,2,9,9,9,1
784,VICTORIA SOUTH,Ontario,1867 - 1903,7,1891.03.05- and 1892.02.11,1762,7f036990-08dc-4e1b-b317-fc150d17fc46,"FAIRBAIRN, Charles",2055,0.5031,Liberal-Conservative,"Businessman, farmer",Protestant,0,2,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,1,9,2,9,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2,9,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,9,9,2,2,9,1,2,2,2,9,9,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,9,2,2,2,1,1,1,2,2,9,2,2,9,2,2,2,2,2,2,9,2,9,1,1,2,1,9,9,1,2,1,9,2
